instance,seed,solution_id,cost,tw_violation
6,0,0,99771.6425924669,871.0074759919155
6,0,1,99765.1917119097,872.3092596664238
6,0,2,98692.61589208951,879.1662580346222
6,0,3,98831.15610409493,877.0664400867283
6,0,4,99305.93966611798,873.6544986524442
6,1,0,97595.09382967059,904.9187595917251
6,1,1,97713.23202362258,872.78807978151
6,2,0,95511.16307076764,831.2193243894892
6,2,1,95728.73064560494,825.2965231975479
6,2,2,95650.12779211714,830.2807193783642
6,2,3,95318.3125143291,840.5905051525194
6,2,4,95419.13178306987,839.7049521250814
6,2,5,95315.68083814811,843.7165956931829
6,2,6,95496.49611040606,838.0090969444145
6,3,0,99208.25016253856,933.033559591948
6,3,1,99280.12843772152,931.7807970633437
6,3,2,99505.36774681733,924.8885558450806
6,4,0,100265.97049853519,896.9605261438003
6,4,1,99938.35509467358,898.7752842603078
6,4,2,100029.90113104759,898.2775532034904
6,5,0,98039.3968695142,941.6391715740638
6,5,1,98338.90837199193,935.6501554558173
6,6,0,94872.07362380065,903.7748260572869
6,6,1,94772.83035069588,913.5664284463953
6,6,2,94792.00216390617,905.3425085455038
6,6,3,95561.14398897391,899.9101305129491
6,6,4,95027.82983332248,902.0132427727417
6,7,0,90609.2091386045,936.3349497235725
6,7,1,91154.40265434097,924.6735184081181
6,8,0,92299.21774178765,895.1177013615868
6,8,1,92003.95302706986,903.5752104310789
6,8,2,92208.05084550865,903.470850326245
6,8,3,92239.21409239796,902.3442371432936
6,8,4,91967.09312126672,909.9374920668423
6,8,5,92398.84666896869,894.707732335765
6,9,0,92611.7299257705,869.1312632502954
6,9,1,92500.70567779531,882.8772102977337
6,9,2,92526.16563839435,881.3764217014142
6,9,3,92578.42479178333,873.1421601458857
6,9,4,92876.63032444863,866.9626950371742
6,9,5,92926.37518278495,861.4956164134107
6,10,0,96657.30884710743,881.3775190765418
6,11,0,98933.978133659,887.0373812900245
6,11,1,99045.90229373479,874.7377748531502
6,11,2,99150.32682652213,864.9128786682628
6,11,3,99302.90310852946,864.6452798858423
6,11,4,99000.73410859621,884.231823512404
6,12,0,96649.7305117378,852.4691453017703
6,12,1,96947.10423054984,850.3113329713311
6,13,0,94136.66897649562,806.5921329589171
6,13,1,95205.19474473725,804.9738616236157
6,13,2,94622.22013013632,805.4367097276083
6,13,3,95214.42881441265,804.611868592898
6,13,4,94702.32886955154,805.0070635738294
6,14,0,94034.83202424605,925.0655022003166
6,14,1,93969.15686239481,944.8219674564652
6,14,2,94017.49869257539,930.8747538867506
6,15,0,93651.56852787566,869.7931386765257
6,16,0,95423.37910303468,916.3889154571997
6,16,1,95314.01320083698,917.1793530530666
6,16,2,95561.32170606844,892.1951295173963
6,17,0,97541.09488186479,846.453109394233
6,17,1,98241.26439399798,840.2969507143098
6,18,0,95913.42083640894,963.3936379003391
6,19,0,98838.98973335732,858.9216562542133
6,19,1,99159.06384312292,851.0355856506075
6,19,2,98333.7811343697,860.7469521826948
6,19,3,98263.09939062175,861.1910816087677
6,19,4,99117.13991993625,853.35469187619
6,20,0,95275.48924194105,925.1657200931281
6,20,1,97451.3746053959,874.1720939120606
6,20,2,95439.18535341509,896.7207656797715
6,20,3,95452.49031017273,881.8633297757375
