seed,MCV,cost,tw_violation
0,3,40616.96550641453,112.61574828263993
0,4,46623.02087311009,91.33908290479278
0,5,52281.96314441512,69.8749896629972
0,6,53169.05484594383,64.49088621664662
0,7,52110.18685742206,86.36546076749481
1,3,42568.91895932134,89.90266550402897
1,4,46275.55293207079,79.56485627926521
1,5,46675.802914707,64.34432139079867
1,6,52655.26076235333,78.07898634875178
1,7,58367.83729279637,78.3078664581553
2,3,40494.66621638317,103.89474873495737
2,4,46845.109204629276,90.82518006370773
2,5,47125.55361888797,82.32536763187983
2,6,59087.79684453822,78.72680288039697
2,7,54686.97373416042,67.16722101528855
3,3,40700.353966989336,77.89122496424883
3,4,47132.70397792446,98.2159454679883
3,5,40748.7106423396,65.35529799833952
3,6,53706.65654608664,105.10833263513214
3,7,52450.655595443975,66.58658400465401
4,3,40879.60278324025,111.06852481791717
4,4,46754.31330209402,80.88764011010323
4,5,51990.98248258844,98.98520136300745
4,6,57924.41910079,120.93377365973241
4,7,51989.629259814945,72.46166393147129
5,3,43194.942469865855,109.91369578703473
5,4,46704.44481341024,85.55529090755441
5,5,51969.48006143349,102.30793655663774
5,6,52594.1990860059,74.77078720721721
5,7,53225.792182911115,69.69101126663827
6,3,47705.23619878171,146.26087238713583
6,4,47297.03794576398,84.71213220431153
6,5,40971.82346787649,76.84389281480139
6,6,47220.694504082625,76.01102586141889
6,7,51973.86656099123,68.86454128008458
7,3,41358.330163757695,104.72856546836908
7,4,47423.58041626909,61.20786439990562
7,5,47211.44800027709,86.19729261891123
7,6,52226.0050349385,78.89250997638092
7,7,51953.339224138675,73.15521188747778
8,2,51092.08232695732,177.78511942415952
8,3,40323.652887179844,63.22169569519923
8,4,47546.02136888787,97.65864445885815
8,5,40679.656987667186,90.68281917062286
8,6,52587.16004681509,65.05883080887064
8,7,59194.63402865236,77.98483637575026
9,3,41599.43366012427,82.48177366198004
9,4,45896.276763473,68.05442021942636
9,5,47392.582855750064,96.67537860319075
9,6,52040.294749967026,80.67884903249228
9,7,58839.05738141403,70.36524723871753
